Статус КИ,Фаза КИ,Города,Название ЛП,"Название организации, проводящей КИ",Номер и дата РКИ,Дата начала и окончания КИ,Терапевтическая область,Название протокола,протокол_номер
Проводится,III,"Владимир, Воронеж, Иваново, Киров, Кировск, Санкт-Петербург, Саранск, Смоленск",PZ-07/2024,"Акционерное общество ""Фармасинтез""",123 02.04.2024,02.04.2024 - 31.12.2025,"Терапия (общая), Пульмонология","Открытое многоцентровое рандомизированное сравнительное исследование эффективности и безопасности препарата PZ-07/2024, капсулы с порошком для ингаляций (АО Фармасинтез, Россия) у пациентов с частично контролируемой бронхиальной астмой",Протокол PZ-07/2024-III-2024
Проводится,Биоэквивалентность,Ростов,Ацетилсалициловая кислота + Магния гидроксид,"Общество с ограниченной ответственностью ""Велфарм-М"" (ООО ""Велфарм-М"")",127 03.04.2024,03.04.2024 - 31.12.2024,"Терапия (общая), Кардиология","Открытое, рандомизированное, четырёхэтапное, перекрёстное, с репликативным дизайном исследование сравнительной фармакокинетики и биоэквивалентности препарата Ацетилсалициловая кислота + магния гидроксид, таблетки, покрытые пленочной оболочкой 150 мг/30,39 мг, (ООО Велфарм-М)и Кардиомагнил таблетки, покрытые пленочной оболочкой 150 мг/30,39 мг (АО Нижфарм, Россия) у здоровых добровольцев натощак",Протокол ACCMG-11/2023
Проводится,Биоэквивалентность,Пермь,Элтромбопаг,"Общество с ограниченной ответственностью ""Биннофарм Групп""",126 03.04.2024,03.02.2024 - 30.04.2025,Терапия (общая),"Открытое, рандомизированное, перекрестное, полностью репликативное в четырех периодах исследование биоэквивалентности препаратов Элтромбопаг, таблетки, покрытые пленочной оболочкой, 50 мг (АО АЛИУМ, Россия) и Револейд® таблетки, покрытые пленочной оболочкой, 50 мг (Новартис Фарма АГ, Швейцария) у здоровых добровольцев при приеме натощак",Протокол 64-ELTR-t-CT-01
Проводится,Биоэквивалентность,Ярославль,Апиксабан,СП ООО «ФАРМЛЭНД»,125 03.04.2024,03.04.2024 - 31.12.2025,Кардиология,"Открытое рандомизированное перекрестное двухпериодное одноцентровое сравнительное исследование биоэквивалентности препаратов Апиксабан, таблетки, покрытые пленочной оболочкой, 5 мг (СП ООО ФАРМЛЭНД, Республика Беларусь) и Эликвис®, таблетки, покрытые пленочной оболочкой, 5 мг (Пфайзер Инк, США) у здоровых субъектов после однократного приема каждого из препаратов натощак",Протокол APIX–12/2023
Проводится,Биоэквивалентность,—,Габапентин,Сан Фармасьютикал Индастриз Лтд.,124 03.04.2024,01.06.2024 - 31.12.2025,Неврология,"Одноцентровое, открытое, рандомизированное, перекрестное, двухпериодное, двухпоследовательное исследование относительной биодоступности и биоэквивалентности лекарственных препаратов Габапентин, капсулы, 300 мг (Сан Фармасьютикал Индастриз Лимитед, Индия) и Нейронтин®, капсулы, 300 мг (Пфайзер Фармасьютикалз ЭлЭлСи, Пуэрто-Рико), у здоровых добровольцев мужского пола натощак",Протокол SPIL-GAB-2024-01
Проводится,Биоэквивалентность,Ростов,Пневмосепт (Леводропропизин),"ООО ""ПИК-ФАРМА""",129 04.04.2024,04.04.2024 - 31.12.2025,Терапия (общая),"Открытое, рандомизированное, двухпериодное, в двух последовательностях перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препарата Пневмосепт®, 60 мг, таблетки (ООО ПИК-ФАРМА, Россия) у здоровых добровольцев натощак",Протокол TAB2024PNV
Проводится,Биоэквивалентность,Ярославль,Фебуксостат ЛЕКАС (Фебуксостат),"ЗАО ""Берёзовский фармацевтический завод""",128 04.04.2024,15.04.2024 - 08.02.2026,Терапия (общая),"Открытое, рандомизированное, перекрестное, в двух периодах исследование сравнительной фармакокинетики и биоэквивалентности препаратов Фебуксостат ЛЕКАС таблетки, покрытые пленочной оболочкой, 120 мг (ЗАО Березовский фармацевтический завод, Россия) и Аденурик® таблетки, покрытые пленочной оболочкой, 120 мг (Менарини Интернэшнл Оперейшнз Люксембург С.А., Люксембург) с участием здоровых добровольцев натощак",Протокол BE-08112023-FbxBPhZ
Проводится,IIIb,"Барнаул, Гатчина, Кемерово, Москва, Санкт-Петербург, Челябинск","Вакцина для профилактики респираторно-синцитиальной вирусной инфекции (Вакцина RSVPreF3 OA для профилактики респираторно-синцитиальной вирусной инфекции у лиц пожилого возраста, GSK3844766A, Арексви)",ГлаксоСмитКляйн Байолоджикалз,130 05.04.2024,05.04.2024 - 01.12.2026,Иммунопрофилактика,"Международное многоцентровое открытое рандомизированное исследование IIIb фазы, являющееся продолжением исследования RSV OA=ADJ-006, с перекрестной вакцинацией участников для оценки иммуногенности и безопасности различных схем ревакцинации и сохранения эффективности после однократного введения вакцины для профилактики респираторно-синцитиальной вирусной инфекции (RSVPreF3 OA) у лиц в возрасте 60 лет и старше, принимавших участие в исследовании RSV OA=ADJ-006",Протокол 222090 (RSV OA=ADJ-012)
Проводится,IIIb,Ярославль,Мацитентан,"Общество с ограниченной ответственностью ""Аспектус фарма""",131 05.04.2024,05.04.2024 - 01.04.2025,Терапия (общая),"Открытое рандомизированное сравнительное перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Мацитентан, таблетки, покрытые пленочной оболочкой 10 мг (Аспектус фарма, Россия) и Опсамит®, таблетки, покрытые плёночной оболочкой, 10 мг (ООО Джонсон & Джонсон, Россия) с участием здоровых добровольцев",Протокол ASP-MCT1
Проводится,III,"Москва, Ярославль",Абатацепт,Д-р Редди’c Лабораторис Лтд.,133 08.04.2024,08.04.2024 - 31.12.2027,Ревматология,"Рандомизированное, двойное слепое, многоцентровое исследование сравнения эффективности, безопасности и иммуногенности предлагаемого биоаналога абатацепта (DRL_AB) и препарата Оренсия® при внутривенном введении в качестве дополнительной терапии к метотрексату для лечения пациентов с умеренной или тяжелой формой ревматоидного артрита",Протокол AB-01-004
Проводится,I,Самара,L02-0623,"Общество с ограниченной ответственностью ""МИП-232""",132 08.04.2024,08.04.2024 - 31.12.2025,Гематология,"Открытое исследование безопасности, переносимости и фармакокинетики возрастающих доз препарата L02-0623 у пациентов с рецидивирующим или рефрактерным хроническим лимфолейкозом / лимфомой из малых лимфоцитов",Протокол ONC- L02-0623-01
Проводится,Биоэквивалентность,—,Тиглайн (Тикагрелор),Акционерное общество «Олайнфарм» (АО «Олайнфарм»),136 09.04.2024,09.04.2024 - 31.12.2024,Терапия (общая),"Одноцентровое, открытое, рандомизированное, перекрестное, двухпериодное, двухпоследовательное исследование относительной биодоступности и биоэквивалентности лекарственного препарата Тиглайн (МНН: тикагрелор), таблетки, покрытые пленочной оболочкой, 90 мг (АО Олайнфарм, Латвия) и референтного лекарственного препарата у здоровых добровольцев натощак",Протокол OF_TG_BE1
Проводится,Биоэквивалентность,Ярославль,Нифурател,АО АВВА РУС,135 09.04.2024,30.04.2024 - 31.08.2025,Инфекционные болезни,"Открытое, рандомизированное, перекрестное в двух периодах исследование сравнительной фармакокинетики и биоэквивалентности препаратов Нифурател  суспензия для приема внутрь 40 мг/мл (АО АВВА РУС, Россия) и Макмирор®  таблетки, покрытые  оболочкой, 200 мг  (Поликем С.р.л., Италия, произведено Доппель Фармачеутичи С.р.л., Италия ) с участием здоровых добровольцев, проводимое с последовательным адаптивным дизайном после приема пищи",Протокол Nifuratel-susp-01/2024-BE
Проводится,Биоэквивалентность,Москва,Месалазин,"ООО ""Джодас Экспоим""",134 09.04.2024,09.04.2024 - 31.12.2024,Терапия (общая),"Проспективное, открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности с адаптивным дизайном препарата Месалазин, таблетки кишечнорастворимые с пролонгированным высвобождением, покрытые пленочной оболочкой 1200 мг (ООО Джодас Экспоим, Россия), в сравнении с препаратом Мезавант, таблетки кишечнорастворимые пролонгированного высвобождения, 1200 мг (Космо С.п.А., Италия) у здоровых добровольцев натощак и после еды",Протокол MES-1/021223
Проводится,III,"Барнаул, Волгоград, Екатеринбург, Иваново, Ижевск, Истра, Казань, Калининград, Калуга, Краснодар, Красноярск, Москва, Нижний Новгород, Новосибирск, Омск, Пермь, Ростов-на-Дону, Самара, Санкт-Петербург, Саранск, Северодвинск, Смоленск, Тверь, Томск, Тюмень, Уфа",Ниволумаб,Акционерное общество «БИОКАД»,137 10.04.2024,10.04.2024 - 31.12.2029,Онкология,Двойное слепое рандомизированное клиническое исследование эффективности и безопасности препарата BCD-263 и препарата Опдиво® в монотерапии у субъектов с распространенной меланомой кожи,Протокол BCD-263-2/UNIVERSE
Проводится,Биоэквивалентность,—,Эзомепразол,"Акционерное общество ""Фармпроект""",139 10.04.2024,10.04.2024 - 31.12.2024,"Терапия (общая), Гастроэнтерология","Открытое рандомизированное двухэтапное перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Эзомепразол, капсулы кишечнорастворимые, 40 мг (АО Фармпроект, Россия), и Нексиум, таблетки, покрытые оболочкой, 40 мг (АстраЗенека АБ, Швеция), при однократном приеме внутрь после приема пищи у взрослых добровольцев мужского и женского пола",Протокол PRJ-ESO-HV-BE-02
Проводится,III,Москва,Клофазимин,"ООО ""ФармКонцепт""",138 10.04.2024,10.04.2024 - 31.12.2025,Другое,"Эффективность, переносимость и безопасность схем терапии у больных туберкулезом легких с множественной, пре-широкой лекарственной устойчивостью возбудителя с применением препарата Клофазимин",Протокол CFZ-02/2023
Проводится,I,—,Кальция лактат,"ООО ""АЛВИЛС""",141 10.04.2024,10.04.2024 - 31.12.2026,Терапия (общая),"Проспективное, открытое, несравнительное исследование безопасности и переносимости с оценкой параметров фармакокинетики препарата Кальция лактат, таблетки, покрытые пленочной оболочкой, 500 мг (ООО АЛВИЛС, Российская Федерация), у здоровых добровольцев, в условиях эскалации дозы",Протокол CLCT001-I/23
Проводится,III,"Нижний Новгород, Самара, Санкт-Петербург, Томск, Челябинск",Деносумаб,Хетеро Биофарма Лимитед,140 10.04.2024,10.04.2024 - 31.12.2025,Онкология,"Международное рандомизированное многоцентровое исследование в параллельных группах для оценки фармакокинетики, фармакодинамики, эффективности и безопасности применения Деносумаба (Hetero) в сравнении с Эксджива® (Амджен) в виде многократных подкожных инъекций у пациентов с метастазами солидных опухолей в костную ткань.",Протокол HCR/III/DENOSOL/12/2019
Проводится,III,"Барнаул, Воронеж, Москва, Новосибирск, Санкт-Петербург",Бианем-АФ (Биапенем),ООО «АлФарма»,142 11.04.2024,11.04.2024 - 31.12.2024,Инфекционные болезни,"Открытое, многоцентровое, рандомизированное, в параллельных группах сравнительное исследование по оценке эффективности и безопасности препаратов Бианем-АФ, порошок для приготовления раствора для инфузий, 1000 мг (ООО АлФарма, Россия), Бианем-АФ, порошок для приготовления раствора для инфузий, 600 мг (ООО АлФарма, Россия) и Меронем®, порошок для приготовления раствора для внутривенного введения, 1000 мг (Пфайзер Инк., США) у пациентов с нозокомиальной пневмонией",Протокол BNM-08-22
Проводится,Биоэквивалентность,Москва,Ралтегравир,"Общество с ограниченной ответственностью ""Велфарм-М"" (ООО ""Велфарм-М"")",143 11.04.2024,11.04.2024 - 31.12.2024,"Терапия (общая), Иммунология","Открытое, сравнительное, рандомизированное, двухпоследовательное, перекрестное, четырехпериодное, одноцентровое исследование сравнительной биодоступности и   биоэквивалентности препаратов Ралтегравир (ООО Велфарм М, Россия) таблетки, покрытые пленочной оболочкой, 400 мг и Исентресс®, таблетки, покрытые пленочной оболочкой, 400 мг, (Мерк Шарп и Доум Б.В., Нидерланды), после приема внутрь натощак здоровыми добровольцами.",Протокол BE-RLT01-24
Проводится,Биоэквивалентность,Ярославль,Дабигатран,"Общество с ограниченной ответственностью ""Велфарм-М"" (ООО ""Велфарм-М"")",145 12.04.2024,12.04.2024 - 31.12.2024,Терапия (общая),"Открытое рандомизированное перекрестное четырехпериодное с репликативным дизайном исследование биоэквивалентности препаратов Дабигатран, 150 мг, капсулы (ООО Велфарм-М, Россия), и Прадакса®, 150 мг, капсулы (Берингер Ингельхайм Фарма ГмбХ и Ко.КГ, Германия) у здоровых субъектов после однократного приема каждого из препаратов натощак",Протокол DBGTR_VEL/1-2024
Проводится,Биоэквивалентность,—,ГРИППЕКС® (Декстрометорфан + Парацетамол + Псевдоэфедрин),ООО «Юнифарм»,146 12.04.2024,12.04.2024 - 31.12.2024,Терапия (общая),"Одноцентровое, открытое, рандомизированное, перекрестное, двухпериодное исследование сравнительной фармакокинетики и биоэквивалентности лекарственных препаратов Гриппекс, таблетки, 325 мг + 30 мг + 10 мг (производства ФГУП Московский эндокринный завод, Россия) и Gripex, таблетки, покрытые пленочной оболочкой, 325 мг + 30 мг + 10 мг, USP Zdrowie Sp. z o.o., Польша у здоровых добровольцев после однократного приема каждого из препаратов натощак.",Протокол GRIPPEX-BE-2023
Проводится,Биоэквивалентность,Иваново,Бисопролол,"Общество с ограниченной ответсвенностью ""Велфарм-М"" (ООО ""Велфарм-М"")",144 12.04.2024,12.04.2024 - 31.12.2024,"Терапия (общая), Кардиология","Одноцентровое, открытое, рандомизированное, двухпериодное, с двумя последовательными приемами, перекрестное исследование относительной биодоступности и биоэквивалентности препарата Бисопролол, таблетки, покрытые пленочной оболочкой, 2,5 мг (ООО Велфарм, Россия) в сравнении с препаратом Конкор®Кор, таблетки, покрытые пленочной оболочкой, 2,5 мг (ООО Мерк, Россия) при приеме натощак здоровыми добровольцами",Протокол RDPh_24_04
Проводится,Биоэквивалентность,—,Тикагрелор,Д-р Редди‘с Лабораторис Лтд.,148 15.04.2024,01.05.2024 - 30.04.2025,Терапия (общая),"Открытое, рандомизированное, перекрестное с двумя периодами, сравнительное исследование относительной биодоступности и биоэквивалентности препарата Тикагрелор, производства Д-р Редди’с Лабораторис Лтд. (Индия), и препарата Брилинта®, производства АстраЗенека АБ (Швеция), в лекарственной форме таблетки, покрытые пленочной оболочкой, 90 мг при однократном приеме здоровыми добровольцами натощак",Протокол DRL_RUS/MDR/KCT/2024/TIC
Проводится,Биоэквивалентность,Ростов,"Тразодон (Тразодона гидрохлорид,VIH084)",ИНТАС ФАРМАСЬЮТИКАЛС ЛИМИТЕД,147 15.04.2024,15.04.2024 - 31.12.2025,Психиатрия,"Открытое рандомизированное перекрестное двухпериодное исследование биоэквивалентности препарата VIH084 (ЗАО ФармФирма Сотекс, Россия) и референтного препарата у здоровых добровольцев",Протокол STX-01-23
Проводится,Биоэквивалентность,Ярославль,Монтелукаст,"Акционерное общество ""Производственная фармацевтическая компания Обновление""",151 16.04.2024,16.04.2024 - 31.12.2026,"Общая врачебная практика (семейная медицина), Аллергология и иммунология, Пульмонология","Открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препарата Монтелукаст, таблетки, покрытые пленочной оболочкой, 10 мг, АО Производственная фармацевтическая компания Обновление, Россия и Сингуляр®, таблетки, покрытые оболочкой, 10 мг, Органон Фарма (ЮКей) Лимитед, Соединенное Королевство, у здоровых добровольцев при приеме натощак",Протокол MNTLPO-08/2023
Проводится,Биоэквивалентность,Ярославль,Траметиниб,"Акционерное общество ""Фармасинтез-Норд""",149 16.04.2024,16.04.2024 - 29.01.2025,Терапия (общая),"Открытое рандомизированное перекрестное двухпериодное исследование биоэквивалентности препарата , таблетки, покрытые пленочной оболочкой, 2 мг (АО Фармасинтез-Норд, Россия), у здоровых субъектов после однократного приема натощак",Протокол PZN-03/2024
Проводится,Биоэквивалентность,Ярославль,Монтелукаст,"Акционерное общество ""Производственная фармацевтическая компания Обновление""",150 16.04.2024,16.04.2024 - 31.12.2026,"Терапия (общая), Аллергология и иммунология, Пульмонология","Открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препарата Монтелукаст, таблетки жевательные, 5 мг, АО ПФК Обновление, Россия и Сингуляр®, таблетки жевательные, 5 мг, Органон Фарма (ЮКей) Лимитед, Соединенное Королевство,   у здоровых добровольцев при приеме натощак",Протокол MNTL-08/2023
Проводится,III,"Москва, Санкт-Петербург",Ацетилцистеин + Парацетамол + Фенилэфрин,Лек д.д.,154 17.04.2024,17.04.2024 - 31.12.2025,"Инфекционные болезни, Терапия (общая)","Открытое рандомизированное многоцентровое исследование эффективности и безопасности комбинированного препарата Ацетилцистеин+Парацетамол+Фенилэфрин, порошок для приготовления раствора для приема внутрь, 200 мг + 500 мг + 10 мг (Сандоз д.д., Словения) в сравнении с комбинацией препаратов Флуимуцил®, гранулы для приготовления раствора для приема внутрь, 200 мг (Замбон Свитцерланд Лтд, Швейцария) и Панадол®, таблетки растворимые, 500 мг (АО ГлаксоСмитКляйн Хелскер, Россия) в симптоматическом лечении пациентов с острыми неосложненными инфекциями дыхательных путей.",Протокол SAN-0928
Проводится,Биоэквивалентность,—,Ибупрофен + Парацетамол,"ООО ""РИФ""",153 17.04.2024,17.04.2024 - 31.12.2026,Терапия (общая),"Проспективное, открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препарата Ибупрофен + Парацетамол, таблетки диспергируемые для детей, 100 мг + 125 мг (ООО РИФ, Россия), в сравнении с препаратом Ибуклин Юниор®, таблетки диспергируемые [для детей], 100 мг + 125 мг (Д-р Реддис Лабораторис Лтд, Индия), у здоровых добровольцев",Протокол IBPL001-24
Проводится,Биоэквивалентность,—,Аторвастатин Альфа (Аторвастатин),"ООО ""РИФ""",152 17.04.2024,17.04.2024 - 31.12.2026,Терапия (общая),"Проспективное, открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препарата Аторвастатин Альфа, таблетки, покрытые пленочной оболочкой, 40 мг (ООО РИФ, Россия), в сравнении с препаратом Липримар®, таблетки, покрытые пленочной оболочкой, 40 мг (Виатрис Спешиалти ЭлЭлСи, США), у здоровых добровольцев",Протокол AVST001-23
Проводится,II-III,"Кольцово, Энгельс","ПНЕВМОПРОТЕКТ® 23 (Вакцина для профилактики пневмококковых инфекций, Вакцина  пневмококковая, поливалентная)","Общество с ограниченной ответственностью ""ГРИТВАК""",156 18.04.2024,18.04.2024 - 31.12.2025,"Инфекционные болезни, Аллергология и иммунология, Иммунопрофилактика","Двойное слепое сравнительное рандомизированное исследование переносимости, безопасности и иммуногенности вакцины ПНЕВМОПРОТЕКТ® 23 и вакцины Пневмовакс® 23 с участием здоровых добровольцев в возрасте от 18 до 60 лет",Протокол ПВП-II/III-01/24
Проводится,II-III,"Санкт-Петербург, Тверь, Ярославль",ОРВИДАЛ (Тирозил-D-аланил-глицил-фенилаланил-лейцил-аргинина диацетат),PVP Labs PTE. LTD (ПиВиПи Лабс ПТЕ. ЛТД),155 18.04.2024,18.04.2024 - 31.03.2025,"Инфекционные болезни, Терапия (общая)","Адаптивное двухэтапное плацебо-контролируемое двойное слепое рандомизированное исследование по подбору оптимальной дозы,  оценке  эффективности и безопасности применения препарата Орвидал, спрей для местного применения 0,2%, производства ООО КОМПАНИЯ ДЕКО (Россия)  для лечения пациентов с ОРВИ, включая грипп, в составе комплексной терапии.",Протокол ORVIDAL_ARVI-2023
Проводится,Биоэквивалентность,Ростов,Метамизол Натрия + Питофенона Гидрохлорид + Фенпивериния Бромид,"Общество с ограниченной ответственностью ""Велфарм-М"" (ООО ""Велфарм-М"")",157 18.04.2024,18.04.2024 - 31.12.2025,Терапия (общая),"Открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препарата Метамизол натрия + Питофенона гидрохлорид + Фенпивериния бромид, таблетки   500мг+5мг+0,1мг (ООО Велфарм-М) и Спазмалгон® таблетки (Балканфарма - Дупница АД, Болгария) у здоровых добровольцев натощак",Протокол SPZM-12/2023
Проводится,III,"Волгоград, Иваново, Москва, Санкт-Петербург, Саратов, Тверь",Баксдростат,АстраЗенека АБ,159 19.04.2024,15.05.2024 - 16.12.2026,Кардиология,"Двойное слепое, рандомизированное, плацебо-контролируемое, многоцентровое исследование для оценки эффективности и безопасности препарата Баксдростат в азиатской популяции с неконтролируемой артериальной гипертензией, получающих два или более препарата, включая участников с резистентной артериальной гипертензией (BaxAsia)",Протокол D6970C00008
Проводится,Биоэквивалентность,Ярославль,PZN-40/2023 (Олапариб),"Акционерное общество ""Фармасинтез-Норд""",158 19.04.2024,19.04.2024 - 31.12.2024,"Онкология, Терапия (общая)","Многоцентровое открытое рандомизированное перекрестное исследование биоэквивалентности препарата  (АО Фармасинтез-Норд, Россия) и референтного препарата у пациентов со злокаческтвенными новобразованиями различной локализации после многократного приема каждого из препаратов натощак и после приема пищи",Протокол PZN-40/2023
Проводится,Биоэквивалентность,Ростов,RB-0007,Общество с ограниченной ответственностью «ПСК Фарма»,160 22.04.2024,22.04.2024 - 31.12.2026,Эндокринология (терапевтическая),"Проспективное, открытое, рандомизированное, перекрестное двухпериодное одноцентровое исследование сравнительной фармакокинетики и биоэквивалентности препарата RB-0007 у здоровых добровольцев при приеме натощак",Протокол RB-0007-122023
